FB01;FB 1 Rechtswissenschaften
FB02;FB 2 Wirtschaftswissenschaften
FB03;FB 3 Gesellschaftswiss. u. Philosophie
FB04;FB 4 Psychologie
FB05;FB 5 Evangelische Theologie
FB06;FB 6 Geschichte und Kulturwissenschaft
FB09;FB 9 Germanistik und Kunstwissenschaft
FB10;FB 10 Fremdsprachen und Literaturen
FB12;FB 12 Mathematik und Informatik
FB13;FB 13 Physik
FB15;FB 15 Chemie
FB16;FB 16 Pharmazie
FB17;FB 17 Biologie
FB18;FB 18 Geowissenschaften
FB19;FB 19 Geographie
FB20;FB 20 Humanmedizin
FB21;FB 21 Erziehungswissenschaften
FB00;Sonstiges, bitte "Institut"-Feld benutzen
